diploma_id,nom,universite,filiere,mention,hash,label
ENSA-2025-ZX-19075,Terry Rodriguez,ENSA,Data Science,Passable,a5cd1eadb6db13ee62567fd930157e24e6279117b68e5595d1a118274fe0c4ba,1
EMI-2023-ZX-56268,Dana Mcconnell,EMI,Cybersecurity,Bien,f717c5608d1b30e37284835cfafaed3380a1547604718cd36fa3bef1bd7d1184,1
ESI-2023-ZX-92649,Kristen Mullins,ESI,Informatique,Assez Bien,8b2b7f83eb0c83384ea610ae4df0f6d11972ce3e827c28ef3a009fdcce1ea1ba,0
ESI-2025-ZX-71193,Christine Zavala,ESI,Cybersecurity,Passable,39e8931293a1d0456c89b41ccd7fc0b83b842c6559fd742e23a215f65e9a3357,1
UM5-2026-ZX-51776,Anthony Barrera,UM5,Data Science,Passable,7002a31936e8fae0ca0d2457613e35a09da4d0a8f3d20266323549d39af4da8b,1
ENSA-2025-ZX-78460,Christopher Ferguson,ENSA,AI,Bien,2ac66850690a3893a270a0aa44ac9eac0d10b399c6110ab5c26bbae6521e7c19,1
EMI-2025-ZX-60487,Mr. Craig Marquez,EMI,Cybersecurity,Passable,f6d00f5a0e0e722cfb01d59bf7626b8a8fe6d455e0e53ee21dcd1ec9068b881e,1
ENSA-2026-ZX-12202,Shirley Collins,ENSA,Cybersecurity,Assez Bien,1129c1480d70d539c8df2117d0e159a68d4d28dd0b1f731ba837ac10e38a1857,1
ESI-2025-ZX-12107,Tyler Jones,ESI,Cybersecurity,Passable,e78fd30e57df4510199ed92aedb0b1e7633003bd7202ec91f59fbbe7c53008a0,1
ENSIAS-2025-ZX-84797,Shawn Fields,ENSIAS,Data Science,Assez Bien,6c245839b1735011577a8b07d61dab7e20087f3f95b230a41884f7c06c0fd083,1
EMI-2024-ZX-15092,Debra Ramos,EMI,AI,Assez Bien,2c2872a29b5031fb9f6e7a3e94353ab269bca7590110809d087269f0b43b2ad2,1
ENSIAS-2023-ZX-14623,Lauren Delacruz,ENSIAS,Blockchain,Tres Bien,cafdba2ba4affae72f84890f9feb82a617947bb99d7a2197a44d3de3ec8c2fc3,1
UM5-2023-ZX-41525,Kimberly Flores,UM5,Cybersecurity,Assez Bien,9c7e06e151da9ba9cb08e2d5961a31c746a5125a65efce1d24a0a3a917a0dc4f,1
